,m (kg),W (mm),ep (KW),Erwltp (g/km),Fuel consumption ,categorie_M1,categorie_M1G,categorie_N1,fuel_mode_B,fuel_mode_F,fuel_mode_H,fuel_mode_M,fuel_mode_P,Country_AT,Country_BE,Country_BG,Country_CY,Country_CZ,Country_DE,Country_DK,Country_EE,Country_ES,Country_FI,Country_FR,Country_GR,Country_HR,Country_HU,Country_IE,Country_IS,Country_IT,Country_LT,Country_LU,Country_LV,Country_MT,Country_NL,Country_NO,Country_PL,Country_PT,Country_RO,Country_SE,Country_SI,Country_SK,Mp_BMW,Mp_FORD,Mp_HYUNDAI,Mp_KIA,Mp_MAZDA-SUBARU-SUZUKI-TOYOTA,Mp_MERCEDES-BENZ,Mp_RENAULT-NISSAN-MITSUBISHI,Mp_STELLANTIS,Mp_VW-SAIC,Ft_DIESEL,Ft_DIESEL/ELECTRIC,Ft_E85,Ft_LPG,Ft_NG,Ft_NG-BIOMETHANE,Ft_PETROL,Ft_PETROL/ELECTRIC
382730,0.18435517970401688,0.2971576227390181,0.0859453993933266,0.19298245614035087,0.04411764705882353,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39877,0.2913319238900634,0.33229974160206716,0.10111223458038424,0.08771929824561403,0.053167420814479636,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
62413,0.15433403805496831,0.2723514211886305,0.10111223458038424,0.2807017543859649,0.05995475113122172,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
26570,0.3031712473572939,0.30232558139534876,0.09100101112234582,0.19298245614035087,0.06108597285067873,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
338131,0.20507399577167024,0.30232558139534876,0.09100101112234582,0.2807017543859649,0.053167420814479636,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120450,0.20507399577167024,0.3100775193798449,0.07886754297269971,0.24561403508771928,0.04411764705882353,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
310495,0.14883720930232552,0.2935400516795866,0.07482305358948432,0.19298245614035087,0.05995475113122172,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
171468,0.29809725158562367,0.3434108527131782,0.1193124368048534,0.19298245614035087,0.05203619909502263,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
341268,0.06131078224101483,0.268733850129199,0.0455005055611729,0.19298245614035087,0.05542986425339367,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
111909,0.17970401691331922,0.30232558139534876,0.0717896865520728,0.17543859649122806,0.053167420814479636,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
