,Ewltp (g/km)
382730,119.0
39877,129.0
62413,135.0
26570,156.0
338131,131.0
120450,118.0
310495,134.0
171468,135.0
341268,124.0
111909,113.0
270230,123.0
236444,187.0
65714,113.0
152046,117.0
136962,118.0
117219,125.0
36993,121.0
417420,128.0
142918,148.0
125438,120.0
412557,121.0
62552,140.0
67907,127.0
234163,166.0
300841,122.0
384777,155.0
406620,110.0
358931,154.0
245408,131.0
179448,125.0
390624,122.0
65008,128.0
299182,117.0
233731,161.0
233850,169.0
44799,26.0
211960,126.0
67904,148.0
130934,204.0
6022,149.0
101947,132.0
253921,142.0
216688,135.0
72670,156.0
298764,105.0
135700,127.0
409335,200.0
245045,113.0
345479,129.0
98321,156.0
256008,118.0
118992,117.0
365872,124.0
359698,124.0
419006,125.0
310403,23.0
195900,137.0
165374,169.0
235080,134.0
2195,122.0
177852,148.0
380688,34.0
252305,129.0
54357,118.0
354568,181.0
291088,136.0
413803,157.0
19514,136.0
50078,128.0
18216,123.0
297869,118.0
197032,146.0
239766,110.0
348484,154.0
262728,78.0
90582,119.0
347916,125.0
45283,31.0
63071,119.0
245703,174.0
301346,140.0
103399,208.0
162319,264.0
79607,44.0
240950,128.0
304805,127.0
340601,111.0
153088,139.0
50825,142.0
36332,134.0
189776,135.0
408106,188.0
224813,121.0
7678,111.0
259563,125.0
83204,167.0
364474,133.0
230807,119.0
103806,121.0
416682,134.0
81855,174.0
96165,117.0
103232,133.0
102443,139.0
248162,142.0
62279,114.0
123939,126.0
294373,108.0
395018,199.0
226025,50.0
51128,149.0
228801,109.0
5952,109.0
34248,199.0
352365,146.0
395607,110.0
350966,159.0
248330,144.0
2222,130.0
225278,122.0
260508,27.0
174671,118.0
373460,50.0
141216,127.0
31830,130.0
284569,113.0
42466,132.0
362463,116.0
374363,121.0
71165,124.0
244196,107.0
354608,46.0
270432,137.0
295963,76.0
304133,301.0
175664,177.0
142053,160.0
367221,120.0
413617,118.0
257625,154.0
190979,156.0
210533,124.0
322017,142.0
285153,137.0
289236,131.0
166535,116.0
365419,32.0
35352,120.0
61727,123.0
192739,165.0
272239,308.0
59641,62.0
395483,111.0
86066,137.0
93796,114.0
275789,121.0
287566,119.0
295397,149.0
75084,112.0
389197,119.0
200841,113.0
53430,145.0
240521,145.0
421319,108.0
8651,129.0
235560,145.0
119527,221.0
50031,120.0
173932,139.0
155762,127.0
54975,115.0
355089,137.0
249434,122.0
291079,166.0
263028,127.0
125322,135.0
26316,148.0
150472,94.0
111650,110.0
269936,257.0
85530,161.0
376221,115.0
20327,32.0
274311,110.0
50420,152.0
49866,102.0
129839,127.0
306903,154.0
24561,180.0
388070,123.0
236209,138.0
155775,133.0
236489,125.0
121425,165.0
406728,122.0
394382,119.0
175048,110.0
193625,122.0
406479,107.0
263630,125.0
384958,122.0
118049,141.0
330836,139.0
2086,122.0
88869,135.0
128970,236.0
373866,111.0
338571,106.0
402390,140.0
362867,30.0
113320,154.0
263526,113.0
188670,132.0
105818,173.0
421931,216.0
83981,133.0
332458,50.0
205663,131.0
385662,118.0
284227,30.0
398638,134.0
311501,135.0
271878,121.0
122296,142.0
79292,123.0
136501,122.0
234582,98.0
240408,120.0
369423,109.0
346365,41.0
48771,177.0
150882,168.0
419313,124.0
314214,137.0
360658,126.0
105302,146.0
33385,138.0
237647,134.0
274722,114.0
17271,160.0
328931,158.0
329205,134.0
63132,140.0
98464,46.0
326846,133.0
381411,122.0
192005,105.0
419105,99.0
306942,118.0
245419,120.0
55530,122.0
404459,168.0
249358,136.0
397408,119.0
361133,151.0
362634,169.0
202000,33.0
410014,143.0
422669,132.0
202846,131.0
361739,145.0
123675,131.0
329391,121.0
409328,32.0
364513,103.0
291795,182.0
94680,121.0
181403,193.0
254036,140.0
89292,112.0
420123,111.0
162464,124.0
166270,138.0
80842,120.0
418400,106.0
344289,116.0
336139,121.0
367676,246.0
55658,134.0
392188,138.0
77709,38.0
12103,147.0
61948,125.0
190164,135.0
358736,158.0
351350,139.0
280453,161.0
22192,148.0
219835,128.0
379135,155.0
305283,131.0
103487,118.0
309416,174.0
111264,156.0
369595,133.0
274728,24.0
385343,106.0
301441,117.0
336033,122.0
295621,119.0
51864,117.0
286754,126.0
328713,130.0
356993,133.0
398877,191.0
222868,140.0
288539,129.0
146015,120.0
234427,145.0
131223,150.0
35741,142.0
16697,111.0
420766,138.0
258239,111.0
397918,122.0
130253,143.0
94852,123.0
181299,134.0
204426,124.0
310632,141.0
397996,121.0
117146,142.0
26162,142.0
103145,141.0
398778,155.0
30577,121.0
403868,135.0
173333,127.0
206350,115.0
401312,139.0
117603,125.0
318491,23.0
245947,146.0
144448,134.0
349413,151.0
202770,27.0
87039,130.0
383341,147.0
86506,154.0
271343,124.0
178181,111.0
223685,161.0
120959,31.0
90076,29.0
78083,125.0
343060,148.0
150797,137.0
104002,128.0
345432,153.0
216549,30.0
279981,132.0
297590,140.0
326426,132.0
289096,160.0
416623,122.0
130047,114.0
343893,134.0
408018,132.0
253821,125.0
165749,140.0
34947,111.0
305341,159.0
398596,121.0
349864,30.0
356651,155.0
270058,123.0
118148,125.0
129258,106.0
56013,103.0
132823,132.0
181707,129.0
353766,119.0
179432,136.0
353294,122.0
350620,41.0
213632,27.0
241242,123.0
288689,135.0
280227,123.0
101115,33.0
390445,146.0
227534,128.0
75517,117.0
145030,118.0
52916,124.0
204624,107.0
180414,202.0
143943,146.0
207563,140.0
57349,130.0
407893,35.0
417571,120.0
169466,26.0
129637,140.0
151240,111.0
132557,115.0
186216,148.0
157143,121.0
336815,126.0
325069,124.0
378239,132.0
323095,270.0
255576,207.0
201798,186.0
243268,136.0
109675,98.0
138722,106.0
132812,135.0
423183,32.0
167385,99.0
407720,118.0
140292,137.0
231268,103.0
90113,134.0
406349,140.0
252848,139.0
216222,166.0
259929,125.0
136475,112.0
23456,140.0
296679,142.0
83868,116.0
129804,110.0
249013,124.0
224531,107.0
398518,124.0
198125,162.0
398098,122.0
277322,117.0
230258,156.0
28304,110.0
280494,182.0
218055,123.0
71680,135.0
187469,138.0
178000,197.0
218929,114.0
44512,126.0
269228,118.0
329487,36.0
93693,127.0
122834,156.0
197151,131.0
59783,158.0
48062,146.0
76361,132.0
361948,164.0
382899,119.0
295696,123.0
86043,129.0
217714,165.0
289816,251.0
319123,140.0
218547,34.0
266368,150.0
420265,134.0
255293,136.0
245840,142.0
117023,123.0
270279,110.0
75613,147.0
192432,106.0
332075,156.0
138270,118.0
187579,113.0
162615,111.0
249587,122.0
220187,31.0
246484,113.0
107058,134.0
408636,27.0
37709,117.0
375568,148.0
209929,293.0
5926,135.0
392379,142.0
212753,121.0
259854,145.0
19649,126.0
279684,92.0
386736,118.0
355268,124.0
424244,151.0
279881,151.0
217454,141.0
395736,118.0
237926,156.0
103053,99.0
410792,140.0
257544,120.0
373556,34.0
4934,46.0
97712,145.0
264168,144.0
384481,145.0
51729,44.0
54862,139.0
27871,270.0
147544,134.0
305799,136.0
77196,118.0
338037,115.0
94101,138.0
294159,115.0
5212,116.0
15086,149.0
66794,98.0
41477,120.0
223200,133.0
97182,23.0
248748,112.0
55591,197.0
240392,177.0
190687,145.0
383243,119.0
309791,118.0
236345,125.0
225283,87.0
193861,118.0
167353,130.0
236684,131.0
162688,154.0
366509,138.0
396305,187.0
265253,120.0
341695,125.0
165508,137.0
320018,136.0
82461,148.0
424366,31.0
366423,117.0
327720,146.0
114637,121.0
412326,169.0
211849,46.0
327391,153.0
88359,126.0
327616,107.0
2657,37.0
272343,133.0
389398,130.0
81370,150.0
209850,120.0
12404,107.0
20108,125.0
225538,124.0
420390,143.0
21772,144.0
382046,138.0
423066,146.0
421240,162.0
368170,138.0
248312,30.0
351330,141.0
378715,116.0
283851,146.0
241646,122.0
277738,104.0
214914,127.0
19726,153.0
159941,127.0
24982,103.0
411196,125.0
28973,247.0
30059,153.0
220840,128.0
152291,149.0
348143,140.0
422491,106.0
132257,102.0
401032,134.0
367467,127.0
183624,234.0
311161,120.0
54279,24.0
177622,144.0
205959,155.0
273473,120.0
366184,103.0
175874,194.0
402935,111.0
227793,120.0
212248,123.0
158177,119.0
253942,87.0
101301,187.0
129180,133.0
423301,127.0
288366,146.0
282073,124.0
425401,122.0
126945,200.0
156098,122.0
64803,118.0
28945,124.0
159315,119.0
417564,121.0
242434,205.0
189407,111.0
82754,104.0
113855,121.0
198503,185.0
63401,49.0
293565,143.0
138755,142.0
182458,24.0
330686,117.0
119216,145.0
353719,143.0
284896,126.0
331440,209.0
388880,162.0
137477,129.0
96107,176.0
72130,130.0
269974,119.0
175360,44.0
222939,87.0
355022,120.0
340958,120.0
297383,127.0
166291,133.0
222298,127.0
15476,252.0
3276,143.0
338259,207.0
40948,127.0
238378,150.0
426733,92.0
367128,134.0
304217,145.0
149999,123.0
35057,142.0
221109,211.0
371669,117.0
201802,137.0
218102,118.0
54390,129.0
117119,110.0
160472,121.0
339248,123.0
359345,102.0
206584,294.0
275657,133.0
191050,32.0
364830,127.0
94809,128.0
376009,121.0
29704,138.0
350178,110.0
184199,30.0
291567,103.0
257175,133.0
52035,127.0
376891,135.0
160319,180.0
231660,141.0
316679,168.0
163052,134.0
98126,136.0
29583,138.0
294966,150.0
118406,137.0
213805,133.0
97000,183.0
194956,116.0
400126,129.0
67144,120.0
338138,110.0
3746,140.0
72703,126.0
175594,49.0
373488,132.0
292956,373.0
154388,129.0
251491,106.0
338032,123.0
323160,140.0
13847,137.0
306424,133.0
150303,133.0
18916,146.0
153888,135.0
127938,133.0
370652,175.0
234691,153.0
22210,147.0
134222,127.0
221625,136.0
385674,92.0
371461,98.0
160617,133.0
105850,166.0
387091,127.0
2502,146.0
116503,183.0
146171,138.0
8408,117.0
405821,149.0
104636,155.0
94986,127.0
423230,134.0
321583,127.0
326027,114.0
122799,136.0
134106,110.0
414851,147.0
368970,153.0
278649,135.0
59037,138.0
120145,147.0
340926,149.0
24328,165.0
7325,131.0
177885,127.0
128733,121.0
327248,102.0
181203,33.0
328538,131.0
275462,130.0
85868,125.0
169926,106.0
139811,136.0
261600,29.0
253344,144.0
300930,170.0
301095,124.0
178464,22.0
58343,130.0
146110,130.0
405966,22.0
2896,112.0
315232,131.0
118164,144.0
128630,112.0
12925,144.0
119510,110.0
234077,125.0
189230,111.0
24404,133.0
160938,151.0
180661,126.0
215051,292.0
160680,129.0
320479,167.0
321201,31.0
162633,118.0
362899,103.0
170488,136.0
40018,135.0
146675,227.0
134871,121.0
282506,120.0
15013,28.0
41690,121.0
317923,100.0
236434,132.0
301189,148.0
43965,194.0
408607,147.0
217713,125.0
200182,124.0
23638,129.0
127839,135.0
133318,116.0
187234,121.0
407080,134.0
260568,204.0
188502,184.0
6604,124.0
105883,124.0
148265,124.0
26832,160.0
133074,113.0
373585,144.0
66895,63.0
417938,138.0
370656,162.0
192447,115.0
178424,109.0
394818,129.0
191053,92.0
411293,142.0
409302,156.0
231205,111.0
158420,133.0
25334,190.0
7803,127.0
138394,31.0
421225,131.0
8475,117.0
79818,129.0
87621,121.0
27315,130.0
255778,119.0
286281,125.0
140175,121.0
173193,161.0
365796,148.0
49570,141.0
337342,127.0
382183,136.0
64133,101.0
36272,130.0
130477,21.0
208539,28.0
306740,144.0
418183,153.0
274640,129.0
252802,191.0
56888,136.0
188179,141.0
253233,144.0
25531,146.0
393819,34.0
22595,125.0
235971,118.0
302550,127.0
310486,127.0
320776,136.0
175320,106.0
404887,158.0
50898,122.0
279706,192.0
155731,129.0
192520,149.0
85942,27.0
341338,118.0
192510,140.0
17730,132.0
41656,155.0
240022,154.0
73723,119.0
27462,181.0
245357,151.0
226362,125.0
191869,120.0
398731,185.0
92854,146.0
344779,113.0
111787,118.0
172272,19.0
108669,111.0
352137,119.0
100343,131.0
246967,125.0
97841,299.0
228564,158.0
83985,152.0
57280,111.0
226324,139.0
250963,121.0
104692,134.0
69932,136.0
127611,144.0
416672,149.0
291528,125.0
64597,128.0
262284,165.0
39695,127.0
325080,215.0
198540,110.0
175544,140.0
395251,119.0
275638,128.0
374270,114.0
294288,111.0
386798,123.0
44964,121.0
260197,146.0
295788,131.0
280719,150.0
207971,136.0
190721,166.0
283840,147.0
355797,112.0
421008,132.0
113830,247.0
229119,132.0
284374,128.0
94310,149.0
321009,42.0
60414,128.0
210274,122.0
316714,197.0
272244,142.0
133711,133.0
24385,112.0
21834,119.0
33334,106.0
175303,129.0
264573,112.0
134397,152.0
390403,32.0
194632,71.0
375092,128.0
290203,113.0
209805,158.0
364120,116.0
280792,151.0
51668,101.0
423235,161.0
69412,122.0
56498,102.0
190471,229.0
351042,121.0
143678,205.0
89321,108.0
40829,27.0
253430,171.0
91745,120.0
379514,152.0
83150,144.0
195102,40.0
173503,131.0
413811,112.0
117526,143.0
3015,111.0
176585,123.0
51601,141.0
232241,123.0
382784,191.0
278494,170.0
112214,131.0
368241,137.0
133983,127.0
419171,126.0
158176,134.0
412175,126.0
191205,130.0
109497,127.0
397169,46.0
365959,154.0
236392,148.0
159859,125.0
369319,121.0
380256,117.0
89015,127.0
72720,115.0
221703,152.0
28023,139.0
73419,130.0
23583,193.0
303663,126.0
268327,121.0
78034,123.0
300184,128.0
381030,173.0
19034,133.0
86783,118.0
189272,177.0
181629,151.0
79706,120.0
305794,137.0
105480,134.0
282174,133.0
44505,156.0
273578,112.0
104121,116.0
184189,113.0
215036,202.0
372663,111.0
41079,202.0
206841,144.0
87269,107.0
253763,117.0
334399,136.0
203180,147.0
229302,185.0
413968,124.0
167997,119.0
103675,124.0
360024,129.0
260005,135.0
320571,141.0
53688,112.0
304628,106.0
265291,126.0
409532,122.0
332773,170.0
97098,169.0
180795,128.0
61173,29.0
404644,111.0
379676,116.0
413278,127.0
388821,122.0
346022,111.0
339157,31.0
426014,125.0
257536,124.0
353804,24.0
195889,132.0
257678,127.0
425072,38.0
93607,142.0
141417,120.0
25738,127.0
253408,130.0
42554,127.0
360062,124.0
187364,135.0
235087,130.0
385457,138.0
141994,123.0
128717,140.0
42086,125.0
268134,132.0
270047,111.0
325973,251.0
169968,165.0
352295,150.0
190599,97.0
144234,67.0
377753,115.0
370829,130.0
115367,128.0
229634,158.0
142724,177.0
334432,122.0
308904,136.0
282424,171.0
332549,127.0
423216,112.0
130821,152.0
174538,123.0
66422,118.0
162292,125.0
113038,134.0
270129,140.0
323854,144.0
102529,120.0
273575,137.0
412687,145.0
348573,136.0
55994,118.0
14051,126.0
229211,45.0
347706,151.0
179719,151.0
221948,150.0
277690,165.0
85782,110.0
252010,170.0
355392,137.0
